cipcode,name
26.1306, Population Biology
26.1307, Conservation Biology
26.1308, Systematic Biology/Biological Systematics
26.1309, Epidemiology
26.1310, Ecology and Evolutionary Biology
26.1399, Ecology, Evolution, Systematics and Population Biology, Other
26.1401, Molecular Medicine
26.1501, Neuroscience
26.1502, Neuroanatomy
26.1503, Neurobiology and Anatomy
26.1504, Neurobiology and Behavior
26.1599, Neurobiology and Neurosciences, Other
26.9999, Biological and Biomedical Sciences, Other
27.0101, Mathematics, General
27.0102, Algebra and Number Theory
27.0103, Analysis and Functional Analysis
27.0104, Geometry/Geometric Analysis
27.0105, Topology and Foundations
27.0199, Mathematics, Other
27.0301, Applied Mathematics, General
27.0303, Computational Mathematics
27.0304, Computational and Applied Mathematics
27.0305, Financial Mathematics
27.0306, Mathematical Biology
27.0399, Applied Mathematics, Other
27.0501, Statistics, General
27.0502, Mathematical Statistics and Probability
27.0503, Mathematics and Statistics
27.0599, Statistics, Other
27.9999, Mathematics and Statistics, Other
28.0501, Air Science/Airpower Studies
28.0502, Air and Space Operational Art and Science
28.0505, Naval Science and Operational Studies
29.0201, Intelligence, General
29.0202, Strategic Intelligence
29.0203, Signal/Geospatial Intelligence
29.0204, Command & Control (C3, C4I) Systems and Operations
29.0205, Information Operations/Joint Information Operations
29.0206, Information/Psychological Warfare and Military Media Relations
29.0207, Cyber/Electronic Operations and Warfare
29.0299, Intelligence, Command Control and Information Operations, Other
29.0301, Combat Systems Engineering
29.0302, Directed Energy Systems
29.0303, Engineering Acoustics
29.0304, Low-Observables and Stealth Technology
29.0305, Space Systems Operations
29.0306, Operational Oceanography
29.0307, Undersea Warfare
29.0399, Military Applied Sciences, Other
29.0401, Aerospace Ground Equipment Technology
29.0402, Air and Space Operations Technology
29.0403, Aircraft Armament Systems Technology
29.0404, Explosive Ordinance/Bomb Disposal
29.0405, Joint Command/Task Force (C3, C4I) Systems
29.0406, Military Information Systems Technology
29.0407, Missile and Space Systems Technology
29.0408, Munitions Systems/Ordinance Technology
29.0409, Radar Communications and Systems Technology
29.0499, Military Systems and Maintenance Technology, Other
29.9999, Military Technologies and Applied Sciences, Other
30.0101, Biological and Physical Sciences
30.0601, Systems Science and Theory
30.0801, Mathematics and Computer Science
30.1001, Biopsychology
30.1701, Behavioral Sciences
30.1801, Natural Sciences
30.1901, Nutrition Sciences
30.2501, Cognitive Science
30.2701, Human Biology
30.3001, Computational Science
30.3101, Human Computer Interaction
30.3201, Marine Sciences
30.3301, Sustainability Studies
40.0101, Physical Sciences
40.0201, Astronomy
40.0202, Astrophysics
40.0203, Planetary Astronomy and Science
40.0299, Astronomy and Astrophysics, Other
40.0401, Atmospheric Sciences and Meteorology, General
40.0402, Atmospheric Chemistry and Climatology
40.0403, Atmospheric Physics and Dynamics
40.0404, Meteorology
40.0499, Atmospheric Sciences and Meteorology, Other
40.0501, Chemistry, General
40.0502, Analytical Chemistry
40.0503, Inorganic Chemistry
40.0504, Organic Chemistry
40.0506, Physical Chemistry
40.0507, Polymer Chemistry
40.0508, Chemical Physics
40.0509, Environmental Chemistry
40.0510, Forensic Chemistry
40.0511, Theoretical Chemistry
40.0599, Chemistry, Other
40.0601, Geology/Earth Science, General
40.0602, Geochemistry
40.0603, Geophysics and Seismology
40.0604, Paleontology
40.0605, Hydrology and Water Resources Science
40.0606, Geochemistry and Petrology
40.0607, Oceanography, Chemical and Physical
40.0699, Geological and Earth Sciences/Geosciences, Other
40.0801, Physics, General
40.0802, Atomic/Molecular Physics
40.0804, Elementary Particle Physics
40.0805, Plasma and High-Temperature Physics
40.0806, Nuclear Physics
40.0807, Optics/Optical Sciences
40.0808, Condensed Matter and Materials Physics
40.0809, Acoustics
40.0810, Theoretical and Mathematical Physics
40.0899, Physics, Other
40.1001, Materials Science
40.1002, Materials Chemistry
40.1099, Materials Sciences, Other
40.9999, Physical Sciences, Other
41.0000, Science Technologies/Technicians, General
41.0101, Biology Technician/Biotechnology Laboratory Technician
41.0204, Industrial Radiologic Technology/Technician
41.0205, Nuclear/Nuclear Power Technology/Technician
41.0299, Nuclear and Industrial Radiologic Technologies/Technicians, Other
41.0301, Chemical Technology/Technician
41.0303, Chemical Process Technology
41.0399, Physical Science Technologies/Technicians, Other
41.9999, Science Technologies/Technicians, Other
42.2701, Cognitive Psychology and Psycholinguistics
42.2702, Comparative Psychology
42.2703, Developmental and Child Psychology
42.2704, Experimental Psychology
42.2705, Personality Psychology
42.2706, Physiological Psychology/Psychobiology
42.2707, Social Psychology
42.2708, Psychometrics and Quantitative Psychology
42.2709, Psychopharmacology
42.2799, Research and Experimental Psychology, Other
43.0106, Forensic Science and Technology
43.0116, Cyber/Computer Forensics and Counterterrorism
45.0301, Archeology
45.0603, Econometrics and Quantitative Economics
45.0702, Geographic Information Science and Cartography
49.0101, Aeronautics/Aviation/Aerospace Science and Technology, General
51.1002, Cytotechnology/Cytotechnologist
51.1005, Clinical Laboratory Science/Medical Technology/Technologist
51.1401, Medical Scientist
51.2003, Pharmaceutics and Drug Design
51.2004, Medicinal and Pharmaceutical Chemistry
51.2005, Natural Products Chemistry and Pharmacognosy
51.2006, Clinical and Industrial Drug Development
51.2007, Pharmacoeconomics/Pharmaceutical Economics
51.2009, Industrial and Physical Pharmacy and Cosmetic Sciences
51.2010, Pharmaceutical Sciences
51.2202, Environmental Health
51.2205, Health/Medical Physics
51.2502, Veterinary Anatomy
51.2503, Veterinary Physiology
51.2504, Veterinary Microbiology and Immunobiology
51.2505, Veterinary Pathology and Pathobiology
51.2506, Veterinary Toxicology and Pharmacology
51.2510, Veterinary Preventive Medicine Epidemiology and Public Health
51.2511, Veterinary Infectious Diseases
51.2706, Medical Informatics
52.1301, Management Science
52.1302, Business Statistics
52.1304, Actuarial Science
52.1399, Management Science and Quantitative Methods, Other

